title,link,saleprice,reviews
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i5 15.6"" (39.62cms) Full HD IPS Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Fingerprint Reader/Platinum Grey/1.85Kg), 81WE018TIN",/Lenovo-39-62cms-Fingerprint-Platinum-81WE018TIN/dp/B08PV3L6WR/ref=sr_1_13?dchild=1&keywords=laptops&qid=1629896576&sr=8-13,"50,990",4.3 out of 5 stars
"Lenovo IdeaPad Slim 3 AMD 3020e 15.6"" (39.63cm) HD Thin & Light Laptop (4GB/1TB HDD/Windows 10/AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100VFIN",/Lenovo-Integrated-Graphics-Platinum-81W100VFIN/dp/B08JCDHPGF/ref=sr_1_14?dchild=1&keywords=laptops&qid=1629896576&sr=8-14,"27,990",3.6 out of 5 stars
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU",/HP-Processor-39-62cms-i3-1115G4-15s-du3038TU/dp/B08S3MGDS3/ref=sr_1_15?dchild=1&keywords=laptops&qid=1629896576&sr=8-15,"41,990",3.5 out of 5 stars
Lenovo 82C7A006IH V15 ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ Windows-10/Integrated AMD Radeon Graphics/ Iron Grey),/Lenovo-82C7A006IH-Windows-10-Integrated-Graphics/dp/B08DHZS1XQ/ref=sr_1_16?dchild=1&keywords=laptops&qid=1629896576&sr=8-16,"30,999",3.3 out of 5 stars
"Acer Aspire 3 A315-23 15.6"" (39.62cms) Laptop (AMD Athlon Silver 3050U dual-core/4GB/1TB HDD/Window 10, Home, 64Bit/AMD RadeonTM Graphics), Silver",/Acer-A315-23-15-6-inch-dual-core-RadeonTM/dp/B088CF3VX6/ref=sr_1_17?dchild=1&keywords=laptops&qid=1629896576&sr=8-17,"31,990",3.7 out of 5 stars
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",/HP-db1060au-Laptop-Ryzen3-Microsoft-Natural/dp/B083SNGBLF/ref=sr_1_18?dchild=1&keywords=laptops&qid=1629896576&sr=8-18,"32,990",3.3 out of 5 stars
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 39.62 cms(15.6-inch) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_19?dchild=1&keywords=laptops&qid=1629896576&sr=8-19,0,0
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/256GB SSD/Win 10/MS Office/Integrated Graphics/Jet Black/1.69 Kg), 15s-fq2075TU",/HP-Processor-39-62cms-Integrated-15s-fq2075TU/dp/B08XNXJDVX/ref=sr_1_20?dchild=1&keywords=laptops&qid=1629896576&sr=8-20,"40,990",4.0 out of 5 stars
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.6cm) FHD IPS Thin & Light Laptop(8GB/1TB+256GB SSD/Windows 10/MS Office/Nvidia GeForce MX450/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG010AIN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05450761CDN36PSI7ODB&url=%2FLenovo-IdeaPad-Fingerprint-Graphite-82FG010AIN%2Fdp%2FB096SJT7TY%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896576%26sr%3D8-21-spons%26psc%3D1&qualifier=1629896576&id=4816452793399747&widgetName=sp_btf,"67,003",3.6 out of 5 stars
"Dell Vostro 3400 14"" (35.56 cms) FHD Anti Glare Display Laptop (11th Gen i5-1135G7 / 8GB / 1TB / Integrated Graphics / Win 10 + MS Office / Black/ 1.58Kg) D552154WIN9BE",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03128052M28BNVDZI78U&url=%2FDell-i5-1135G7-Integrated-Graphics-D552154WIN9BE%2Fdp%2FB08RXZCXH6%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896576%26sr%3D8-22-spons%26psc%3D1&qualifier=1629896576&id=4816452793399747&widgetName=sp_btf,"53,890",3.5 out of 5 stars
